startHoleTime,AveRotPressure,drilledMeters,rigSerial,endHoleTime,AvePenetrRate,status,AveDampPressure,AveFlushPressure,reDrillStatus,holeID,Software,currentShift,AvePercPressure,AveFeedPressure
10/02/2025 01:39,57.48518965517241,6.145,0,10/02/2025 01:41,2.643103448275862,Success,0,17.80448275862069,0,605,6.28.1,2025-02-09 N,17.80448275862069,43.972655172413795
10/02/2025 01:45,49.705741379310346,6.138,0,10/02/2025 01:48,2.3415689655172414,Success,0,18.10784482758621,0,606,6.28.1,2025-02-09 N,18.10784482758621,47.96441379310345
10/02/2025 02:03,52.21077049180328,6.307,0,10/02/2025 02:08,1.5703770491803277,Success,0,17.52811475409836,0,608,6.28.1,2025-02-09 N,17.52811475409836,47.23604918032787
10/02/2025 02:11,50.33452459016393,6.421,0,10/02/2025 02:17,1.6966393442622951,Success,0,17.509918032786885,0,609,6.28.1,2025-02-09 N,17.509918032786885,46.72344262295082
10/02/2025 02:20,52.577737704918036,6.354,0,10/02/2025 02:25,1.4865245901639343,Success,0,18.133524590163933,0,610,6.28.1,2025-02-09 N,18.133524590163933,47.99455737704918
10/02/2025 02:28,51.807524590163936,6.357,0,10/02/2025 02:34,1.372639344262295,Success,0,17.54975409836066,0,611,6.28.1,2025-02-09 N,17.54975409836066,46.85667213114754
10/02/2025 02:46,50.68706557377049,6.31,0,10/02/2025 02:51,1.9069180327868853,Success,0,17.779918032786885,0,613,6.28.1,2025-02-09 N,17.779918032786885,47.49503278688525
10/02/2025 03:17,51.00501666666666,6.334,0,10/02/2025 03:20,2.3801,Success,0,18.094749999999998,0,614,6.28.1,2025-02-09 N,18.094749999999998,47.693099999999994
10/02/2025 03:36,53.13655932,6.223,0,10/02/2025 03:39,2.5236271186440677,Success,0,17.355762711864408,0,616,6.28.1,2025-02-09 N,17.355762711864408,47.485593220338984
10/02/2025 03:47,49.33108620689655,6.19,0,10/02/2025 03:50,2.7795,Success,0,18.065172413793103,0,617,6.28.1,2025-02-09 N,18.065172413793103,47.84293103448276
10/02/2025 03:54,51.467067796610166,6.225,0,10/02/2025 03:57,2.409779661016949,Success,0,18.118474576271186,0,618,6.28.1,2025-02-09 N,18.118474576271186,47.65206779661017
10/02/2025 04:01,51.33993220338983,6.208,0,10/02/2025 04:04,2.1406101694915254,Success,0,18.121016949152544,0,619,6.28.1,2025-02-09 N,18.121016949152544,48.13372881355932
10/02/2025 04:08,52.13889830508475,6.177,0,10/02/2025 04:12,1.7860169491525424,Success,0,18.074745762711867,0,620,6.28.1,2025-02-09 N,18.074745762711867,47.890745762711866
10/02/2025 04:16,53.2741,6.207,0,10/02/2025 04:20,1.5364166666666668,Success,0,17.81,0,621,6.28.1,2025-02-09 N,17.81,48.04591666666667
10/02/2025 04:24,52.65145,6.273,0,10/02/2025 04:35,1.5926,Success,0,17.49025,0,622,6.28.1,2025-02-09 N,17.49025,47.418350000000004
10/02/2025 04:50,47.33155932,6.182,0,10/02/2025 04:54,2.249677966101695,Success,0,17.645084745762713,0,623,6.28.1,2025-02-09 N,17.645084745762713,47.372440677966104
10/02/2025 05:03,50.173280701754386,6.065,0,10/02/2025 05:06,2.775105263157895,Success,0,17.57894736842105,0,625,6.28.1,2025-02-09 N,17.57894736842105,47.01859649122807
10/02/2025 05:10,49.447962264150945,6.017,0,10/02/2025 05:13,3.9536037735849057,Success,0,16.246132075471696,0,626,6.28.1,2025-02-09 N,16.246132075471696,44.29467924528302
