rigSerial,startHoleTime,endHoleTime,currentShift,software,holeID,drilledMeters,penRate,overDrill,spatialInaccuracy,bitDiameter,GPS,posMode,anchorMode,collarMode,drillMode,activationMode,borderHoleFlag,status
RigNumber,02/02/2025 06:12,02/02/2025 06:18,2025-02-02 D,6.28.1,137,5.125936988,0.020669,0.341,0.056824291,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 06:23,02/02/2025 06:29,2025-02-02 D,6.28.1,138,5.053026222,0.020945,0.314,0.043829214,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 06:32,02/02/2025 06:38,2025-02-02 D,6.28.1,139,5.046066785,0.022282,0.33,0.039560081,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 06:40,02/02/2025 06:55,2025-02-02 D,6.28.1,140,5.146477339,0.023101,0.327,0.040162171,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 06:59,02/02/2025 07:05,2025-02-02 D,6.28.1,141,5.179852314,0.026589,0.388,0.062289646,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 07:12,02/02/2025 07:18,2025-02-02 D,6.28.1,142,5.270207396,0.02113,0.331,0.074431176,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 07:45,02/02/2025 07:51,2025-02-02 D,6.28.1,143,5.154748878,0.021479,0.361,0.048166379,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 07:54,02/02/2025 08:00,2025-02-02 D,6.28.1,144,5.057760868,0.019258,0.328,0.038078866,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 08:04,02/02/2025 08:10,2025-02-02 D,6.28.1,145,5.049906732,0.022373,0.316,0.02,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 08:13,02/02/2025 08:19,2025-02-02 D,6.28.1,146,5.098703463,0.022855,0.322,0.016124515,165,1,None,None,None,1,None,0,Success
RigNumber,02/02/2025 10:10,02/02/2025 10:31,2025-02-02 D,6.28.1,147,5.17908293,0.020376,0.324,0.038600518,165,1,None,None,None,1,None,0,Success
